country,gdp_pc_pp,pop,v,fa,resilience,risk,risk_to_assets,fa_in_gdp
Albania,9960.94072581355,2.897366,0.3823422499999999,0.004814003526083852,0.6900702965998223,0.014311556663375379,0.009875980151500612,0.025982318053862318
Angola,7488.011759834088,21.471618,0.6053999999999999,0.0015427354858587633,0.3120856327267252,0.004777333079139735,0.0014909370167496383,0.0035678649308804235
Argentina,18087.196261682242,41.446246,0.41111968330750004,0.003087026024930582,0.5672916958774933,0.007757691745644917,0.0044008741064817366,0.011452537862090419
Armenia,7526.836419112871,2.976566,0.24298125,0.011310231920394972,0.7069150145750933,0.010292559201841443,0.007275964638184754,0.030843643014736667
Australia,42834.0167597384,23.1293,0.5499464199999998,0.0012901564519903438,0.7229685128905209,0.0028060909590519245,0.0020287154077013054,0.004715442902142098
Austria,44056.254416802,8.479823,0.26746029999999993,0.0023492092290548594,0.7302393927796034,0.00323985859332621,0.0023658723718823116,0.010113760184049294
Azerbaijan,16593.188760048204,9.416801,0.24258125,0.006641821764231441,0.6148326164404257,0.0043044176672888505,0.002646496376631598,0.011102616959508751
Bangladesh,2853.447740155661,156.594962,0.4407956720642625,0.017630743911551262,0.657645213252448,0.0345450560801028,0.02271839077261698,0.060856754651097196
Belarus,17054.558334452504,9.466,0.3329484999999999,0.005167037707718827,0.6398406635218188,0.005667796051517664,0.003626486386309407,0.013370709678347399
Belgium,40608.97200934282,11.182817,0.28586500000000004,0.0005136267165988726,0.7710595129420847,0.0008559091824226554,0.0006599569173214706,0.0023703129807427547
Benin,1733.3093993643502,10.323474,0.675065997529089,0.0016261606815879603,0.5005428935068783,0.005259870235198932,0.0026327906669971783,0.004923979786203713
Bolivia,5934.38797771874,10.6712,0.3991842518508732,0.0056312233810221594,0.49288100037461835,0.010112691704388568,0.0049843536037391415,0.013349376070981628
Bosnia and Herzegovina,9387.350031380154,3.829307,0.4613013503895525,0.004367918784590919,0.6292895336457522,0.009827088007687976,0.006184083629453731,0.013484051132574762
Botswana,15246.608797311901,2.021144,0.6432593897360632,0.0014154932858758576,0.5840477997951535,0.0049414424054324444,0.00288603856470729,0.005034152386336811
Brazil,14555.082195311496,200.361925,0.6523354131949007,0.00081280561664977,0.6189712385225296,0.0030435079282682283,0.0018838438718133234,0.0030605500723718693
Bulgaria,15695.017794275904,7.265115,0.40591779246676,0.0019776455941523143,0.6853527241568311,0.003370996355473516,0.002310321535346524,0.006121254644191836
Burkina Faso,1630.4444967271695,16.934839,0.6752200751066846,0.0015020294323055277,0.701755881823911,0.003305864157733048,0.002319909617200016,0.0037026341737732174
Burundi,746.960151427392,10.162532,0.4655239424554544,0.003962187037333855,0.5903734584002988,0.006387516151878821,0.003771020001172468,0.008558021770075596
Cambodia,2943.5246683518503,15.135169,0.2484568678527499,0.035624871717024706,0.5254216380907827,0.03608049467316624,0.018957472614300766,0.07756434188104012
Cameroon,2739.343944800181,22.253959,0.3212323741009899,0.0042958219332717455,0.4663673243557289,0.0057364934091121865,0.0026753130823919244,0.010234542231143815
Canada,41898.88235946359,35.154279,0.28659953120615644,0.0013722913974136787,0.7016073341696584,0.001394112775876688,0.0009781197482147056,0.0040904836939901984
